id,pr,label,tier,evidence_level,defect_is_bundle_primary_claim,exact_test,anchor,bundle,bundle_verdict,test,fix,logs,sibling_fix_leaves_red,n_assigned_findings,merged_in_from,restored,withdrawn,duplicate_of
10-D13,10,"Migration skips importing legacy embeddable hosts by using cmdtuples on a SELECT, then deletes the only copy of the config",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",db/migrate/20150818190757createembeddablehosts.rb:19,10-B16,behavior_change_not_regression,analysis/verified_gold/10/B16-migration-skips-importing-legacy-embeddable-hosts-by-usi/defects/10-D13/test.diff,analysis/verified_gold/10/B16-migration-skips-importing-legacy-embeddable-hosts-by-usi/defects/10-D13/fix.patch,analysis/verified_gold/10/B16-migration-skips-importing-legacy-embeddable-hosts-by-usi/defects/10-D13/logs,,13,[],,,
10-D14,10,Routes expose REST actions for embeddable_hosts that the controller doesn't implement (ActionNotFound on GET),D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",config/routes.rb:153,10-B18,confirmed_regression,analysis/verified_gold/10/B18-routes-expose-rest-actions-for-embeddablehosts-that-the-/defects/10-D14/test.diff,analysis/verified_gold/10/B18-routes-expose-rest-actions-for-embeddablehosts-that-the-/defects/10-D14/fix.patch,analysis/verified_gold/10/B18-routes-expose-rest-actions-for-embeddablehosts-that-the-/defects/10-D14/logs,,10,[],,,
10-D15,10,"EmbeddingSerializer emits only embeddable_host_ids (no sideloaded embeddable_hosts), breaking client hydration",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/serializers/embeddingserializer.rb:3,10-B21,behavior_change_not_regression,analysis/verified_gold/10/B21-embeddingserializer-emits-only-embeddablehostids-no-sid/defects/10-D15/test.diff,analysis/verified_gold/10/B21-embeddingserializer-emits-only-embeddablehostids-no-sid/defects/10-D15/fix.patch,analysis/verified_gold/10/B21-embeddingserializer-emits-only-embeddablehostids-no-sid/defects/10-D15/logs,,4,[],,,
10-D16,10,"EmbeddableHost host format validation allows trailing newline due to end-anchor, creating broken allowlist entries",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/models/embeddablehost.rb:2,10-B23,behavior_change_not_regression,analysis/verified_gold/10/B23-embeddablehost-host-format-validation-allows-trailing-ne/defects/10-D16/test.diff,analysis/verified_gold/10/B23-embeddablehost-host-format-validation-allows-trailing-ne/defects/10-D16/fix.patch,analysis/verified_gold/10/B23-embeddablehost-host-format-validation-allows-trailing-ne/defects/10-D16/logs,,3,[],,,
10-D17,10,EmbeddableHost destroy action always reports success even when destroy fails,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/controllers/admin/embeddablehostscontroller.rb:16,10-B25,behavior_change_not_regression,analysis/verified_gold/10/B25-embeddablehost-destroy-action-always-reports-success-eve/defects/10-D17/test.diff,analysis/verified_gold/10/B25-embeddablehost-destroy-action-always-reports-success-eve/defects/10-D17/fix.patch,analysis/verified_gold/10/B25-embeddablehost-destroy-action-always-reports-success-eve/defects/10-D17/logs,,2,[],,,
10-D18,10,EmbedController authorization can be bypassed by forging the Referer header,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/controllers/embedcontroller.rb:61,10-B26,behavior_change_not_regression,analysis/verified_gold/10/B26-embedcontroller-authorization-can-be-bypassed-by-forging/defects/10-D18/test.diff,analysis/verified_gold/10/B26-embedcontroller-authorization-can-be-bypassed-by-forging/defects/10-D18/fix.patch,analysis/verified_gold/10/B26-embedcontroller-authorization-can-be-bypassed-by-forging/defects/10-D18/logs,,2,[],,,
10-D19,10,Embed allowlist check does not scope requested topic/embed_url to the referer host's permitted category,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/controllers/embedcontroller.rb:61,10-B33,behavior_change_not_regression,analysis/verified_gold/10/B33-embed-allowlist-check-does-not-scope-requested-topic-emb/defects/10-D19/test.diff,analysis/verified_gold/10/B33-embed-allowlist-check-does-not-scope-requested-topic-emb/defects/10-D19/fix.patch,analysis/verified_gold/10/B33-embed-allowlist-check-does-not-scope-requested-topic-emb/defects/10-D19/logs,,1,[],,,
10-D20,10,None,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/models/embeddablehost.rb:6,10-B34,behavior_change_not_regression,analysis/verified_gold/10/B34-app-models-embeddablehostrb6--beforevalidation-only-str/defects/10-D20/test.diff,analysis/verified_gold/10/B34-app-models-embeddablehostrb6--beforevalidation-only-str/defects/10-D20/fix.patch,analysis/verified_gold/10/B34-app-models-embeddablehostrb6--beforevalidation-only-str/defects/10-D20/logs,,1,[],,,
10-D21,10,"Migration splits embeddable host list on newlines instead of pipe delimiter, losing hosts",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",db/migrate/20150818190757createembeddablehosts.rb:22,10-B35,behavior_change_not_regression,analysis/verified_gold/10/B35-migration-splits-embeddable-host-list-on-newlines-instea/defects/10-D21/test.diff,analysis/verified_gold/10/B35-migration-splits-embeddable-host-list-on-newlines-instea/defects/10-D21/fix.patch,analysis/verified_gold/10/B35-migration-splits-embeddable-host-list-on-newlines-instea/defects/10-D21/logs,,1,[],,,
10-D22,10,EmbeddableHost missing presence validation for non-null category_id causes DB NotNullViolation,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",app/models/embeddable_host.rb,10-B36,behavior_change_not_regression,analysis/verified_gold/10/B36-embeddablehost-missing-presence-validation-for-non-null-/defects/10-D22/test.diff,analysis/verified_gold/10/B36-embeddablehost-missing-presence-validation-for-non-null-/defects/10-D22/fix.patch,analysis/verified_gold/10/B36-embeddablehost-missing-presence-validation-for-non-null-/defects/10-D22/logs,,1,[],,,
10967-D01,10967,Google Meet event creation can crash when destinationCalendar is missing/empty,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",packages/core/eventmanager.ts:119,10967-B03,confirmed_regression,analysis/verified_gold/10967/B03-google-meet-event-creation-can-crash-when-destinationcalen/defects/10967-D01/test.diff,analysis/verified_gold/10967/B03-google-meet-event-creation-can-crash-when-destinationcalen/defects/10967-D01/fix.patch,analysis/verified_gold/10967/B03-google-meet-event-creation-can-crash-when-destinationcalen/defects/10967-D01/logs,,92,[],,,
10967-D02,10967,Reschedule calendar update errors are swallowed: catch returns [] when calendarReference is unset and logs were removed,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",eventmanager.ts:596,10967-B11,confirmed_regression,analysis/verified_gold/10967/B11-reschedule-calendar-update-errors-are-swallowed-catch-retu/defects/10967-D02/test.diff,analysis/verified_gold/10967/B11-reschedule-calendar-update-errors-are-swallowed-catch-retu/defects/10967-D02/fix.patch,analysis/verified_gold/10967/B11-reschedule-calendar-update-errors-are-swallowed-catch-retu/defects/10967-D02/logs,,17,[],,,
10967-D03,10967,Booking webhook payload breaks backward compatibility by changing destinationCalendar from object/null to array,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",packages/types/calendar.d.ts:171,10967-B13,confirmed_regression,analysis/verified_gold/10967/B13-booking-webhook-payload-breaks-backward-compatibility-by-c/defects/10967-D03/test.diff,analysis/verified_gold/10967/B13-booking-webhook-payload-breaks-backward-compatibility-by-c/defects/10967-D03/fix.patch,analysis/verified_gold/10967/B13-booking-webhook-payload-breaks-backward-compatibility-by-c/defects/10967-D03/logs,,12,[],,,
10967-D04,10967,Recurring deletion sweep nested inside bookingCalendarReference loop causing duplicate provider deletes/404s,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",handlecancelbooking.ts:445,10967-B14,confirmed_regression,analysis/verified_gold/10967/B14-recurring-cancellation-delete-sweep-runs-once-per-calendar/defects/10967-D04/test.diff,analysis/verified_gold/10967/B14-recurring-cancellation-delete-sweep-runs-once-per-calendar/defects/10967-D04/fix.patch,analysis/verified_gold/10967/B14-recurring-cancellation-delete-sweep-runs-once-per-calendar/defects/10967-D04/logs,,18,[],,,
10967-D05,10967,"Inner references.find only deletes the first calendar reference per updated booking, leaving orphaned secondary-host events",D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",handlecancelbooking.ts,10967-B14,confirmed_regression,analysis/verified_gold/10967/B14-recurring-cancellation-delete-sweep-runs-once-per-calendar/defects/10967-D05/test.diff,analysis/verified_gold/10967/B14-recurring-cancellation-delete-sweep-runs-once-per-calendar/defects/10967-D05/fix.patch,analysis/verified_gold/10967/B14-recurring-cancellation-delete-sweep-runs-once-per-calendar/defects/10967-D05/logs,True,0,[],,,
11059-D01,11059,Timing-unsafe webhook secret comparison (non-constant-time !==),D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:25,11059-B05,behavior_change_not_regression,analysis/verified_gold/11059/B05-webhook-secret-validation-uses-non-constant-time-string-co/defects/11059-D01/test.diff,analysis/verified_gold/11059/B05-webhook-secret-validation-uses-non-constant-time-string-co/defects/11059-D01/fix.patch,analysis/verified_gold/11059/B05-webhook-secret-validation-uses-non-constant-time-string-co/defects/11059-D01/logs,,72,[],,,
11059-D03,11059,Missing rate limiting on webhook secret verification,D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts,11059-B05,behavior_change_not_regression,analysis/verified_gold/11059/B05-webhook-secret-validation-uses-non-constant-time-string-co/defects/11059-D03/test.diff,analysis/verified_gold/11059/B05-webhook-secret-validation-uses-non-constant-time-string-co/defects/11059-D03/fix.patch,analysis/verified_gold/11059/B05-webhook-secret-validation-uses-non-constant-time-string-co/defects/11059-D03/logs,True,2,"['11059-D29', '11059-D04']",,,
11059-D09,11059,Handler lacks request hardening: no HTTP-method guard and an unescaped ZodError from malformed input,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:17,11059-B09,behavior_change_not_regression,analysis/verified_gold/11059/B09-webhook-api-handler-performs-credential-create-update-with/defects/11059-D09/test.diff,analysis/verified_gold/11059/B09-webhook-api-handler-performs-credential-create-update-with/defects/11059-D09/fix.patch,analysis/verified_gold/11059/B09-webhook-api-handler-performs-credential-create-update-with/defects/11059-D09/logs,True,38,['11059-D08'],,,
11059-D10,11059,missing validation of decrypted credential object before persistence,D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts,11059-B09,behavior_change_not_regression,analysis/verified_gold/11059/B09-webhook-api-handler-performs-credential-create-update-with/defects/11059-D10/test.diff,analysis/verified_gold/11059/B09-webhook-api-handler-performs-credential-create-update-with/defects/11059-D10/fix.patch,analysis/verified_gold/11059/B09-webhook-api-handler-performs-credential-create-update-with/defects/11059-D10/logs,True,6,['11059-D16'],,,
11059-D12,11059,credential-sync endpoint requests are unauthenticated,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",packages/app-store/utils/oauth/refreshoauthtokens.ts:8,11059-B10,behavior_change_not_regression,analysis/verified_gold/11059/B10-credential-sync-token-refresh-request-omits-shared-secret-/defects/11059-D12/test.diff,analysis/verified_gold/11059/B10-credential-sync-token-refresh-request-omits-shared-secret-/defects/11059-D12/fix.patch,analysis/verified_gold/11059/B10-credential-sync-token-refresh-request-omits-shared-secret-/defects/11059-D12/logs,True,50,[],,,
11059-D14,11059,HubSpot refresh treats raw credential-sync response as HubSpotToken object,D-duplicate,own_executed,False,"yes - defect-specific test, orthogonality proven",packages/app-store/_utils/oauth/refreshOAuthTokens.ts,11059-B10,behavior_change_not_regression,analysis/verified_gold/11059/B10-credential-sync-token-refresh-request-omits-shared-secret-/defects/11059-D14/test.diff,analysis/verified_gold/11059/B10-credential-sync-token-refresh-request-omits-shared-secret-/defects/11059-D14/fix.patch,analysis/verified_gold/11059/B10-credential-sync-token-refresh-request-omits-shared-secret-/defects/11059-D14/logs,True,9,"['11059-D15', '11059-D13']",,,golden:cal_dot_com.json:158
11059-D17,11059,non-atomic find-then-create/upsert race causing duplicate credentials under concurrency,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:62-73,11059-B14,behavior_change_not_regression,analysis/verified_gold/11059/B14-webhook-updates-an-arbitrary-credential-when-user-has-mult/defects/11059-D17/test.diff,analysis/verified_gold/11059/B14-webhook-updates-an-arbitrary-credential-when-user-has-mult/defects/11059-D17/fix.patch,analysis/verified_gold/11059/B14-webhook-updates-an-arbitrary-credential-when-user-has-mult/defects/11059-D17/logs,True,18,['11059-D07'],,,
11059-D18,11059,ambiguous credential lookup by userId+appId without a disambiguator causing arbitrary credential overwrite,D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:62,11059-B14,behavior_change_not_regression,analysis/verified_gold/11059/B14-webhook-updates-an-arbitrary-credential-when-user-has-mult/defects/11059-D18/test.diff,analysis/verified_gold/11059/B14-webhook-updates-an-arbitrary-credential-when-user-has-mult/defects/11059-D18/fix.patch,analysis/verified_gold/11059/B14-webhook-updates-an-arbitrary-credential-when-user-has-mult/defects/11059-D18/logs,True,28,[],,,
11059-D19,11059,Webhook auth fails open when CALCOM_WEBHOOK_SECRET is unset (undefined equals missing header),D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:25,11059-B21,behavior_change_not_regression,analysis/verified_gold/11059/B21-webhook-auth-fails-open-when-calcomwebhooksecret-is-unset-/defects/11059-D19/test.diff,analysis/verified_gold/11059/B21-webhook-auth-fails-open-when-calcomwebhooksecret-is-unset-/defects/11059-D19/fix.patch,analysis/verified_gold/11059/B21-webhook-auth-fails-open-when-calcomwebhooksecret-is-unset-/defects/11059-D19/logs,,14,[],,,
11059-D20,11059,Instance-wide static webhook secret authorizes credential writes for arbitrary userid/appslug,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:9-13,11059-B22,behavior_change_not_regression,analysis/verified_gold/11059/B22-instance-wide-shared-webhook-secret-allows-overwriting-any/defects/11059-D20/test.diff,analysis/verified_gold/11059/B22-instance-wide-shared-webhook-secret-allows-overwriting-any/defects/11059-D20/fix.patch,analysis/verified_gold/11059/B22-instance-wide-shared-webhook-secret-allows-overwriting-any/defects/11059-D20/logs,,9,[],,,
11059-D21,11059,No replay/event-identity/version guard permits stale or concurrent credential overwrites,D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:72,11059-B22,behavior_change_not_regression,analysis/verified_gold/11059/B22-instance-wide-shared-webhook-secret-allows-overwriting-any/defects/11059-D21/test.diff,analysis/verified_gold/11059/B22-instance-wide-shared-webhook-secret-allows-overwriting-any/defects/11059-D21/fix.patch,analysis/verified_gold/11059/B22-instance-wide-shared-webhook-secret-allows-overwriting-any/defects/11059-D21/logs,True,4,[],,,
11059-D22,11059,"parseRefreshTokenResponse throws instead of returning structured failure, breaking caller branches",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",packages/app-store/utils/oauth/parserefreshtokenresponse.ts:19-21,11059-B23,behavior_change_not_regression,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D22/test.diff,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D22/fix.patch,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D22/logs,,4,"['11059-D27', '11059-D23']",,,
11059-D26,11059,Webhook credential sync updates key but does not clear previously set invalid flag,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:73,11059-B24,behavior_change_not_regression,analysis/verified_gold/11059/B24-webhook-credential-sync-updates-key-but-does-not-clear-pre/defects/11059-D26/test.diff,analysis/verified_gold/11059/B24-webhook-credential-sync-updates-key-but-does-not-clear-pre/defects/11059-D26/fix.patch,analysis/verified_gold/11059/B24-webhook-credential-sync-updates-key-but-does-not-clear-pre/defects/11059-D26/logs,,4,[],,,
11059-D28,11059,"API route default-imports zod, making `z` undefined and crashing on module load",D-withdrawn,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts,11059-B31,behavior_change_not_regression,analysis/verified_gold/11059/B31-api-route-default-imports-zod-making-z-undefined-and-cras/defects/11059-D28/test.diff,analysis/verified_gold/11059/B31-api-route-default-imports-zod-making-z-undefined-and-cras/defects/11059-D28/fix.patch,analysis/verified_gold/11059/B31-api-route-default-imports-zod-making-z-undefined-and-cras/defects/11059-D28/logs,,1,[],,True,
11059-D30,11059,"Webhook header lookup is not case-normalized, so a differently-cased header name fails the secret check",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts:22,11059-B19,pending,analysis/verified_gold/11059/B19-webhook-secret-header-lookup-uses-raw-env-header-name-brea/defects/11059-D30/test.diff,analysis/verified_gold/11059/B19-webhook-secret-header-lookup-uses-raw-env-header-name-brea/defects/11059-D30/fix.patch,analysis/verified_gold/11059/B19-webhook-secret-header-lookup-uses-raw-env-header-name-brea/defects/11059-D30/logs,,31,['11059-D31'],,,
11059-D32,11059,"Unset webhook secret and absent header both compare as undefined, bypassing the auth check",D-duplicate,own_executed,False,"yes - defect-specific test, orthogonality proven",apps/web/pages/api/webhook/app-credential.ts,11059-B19,pending,analysis/verified_gold/11059/B19-webhook-secret-header-lookup-uses-raw-env-header-name-brea/defects/11059-D32/test.diff,analysis/verified_gold/11059/B19-webhook-secret-header-lookup-uses-raw-env-header-name-brea/defects/11059-D32/fix.patch,analysis/verified_gold/11059/B19-webhook-secret-header-lookup-uses-raw-env-header-name-brea/defects/11059-D32/logs,True,1,[],,,11059-D19
11059-D33,11059,"Salesforce token schema requires `scope`, which its refresh response omits, breaking refresh",D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",packages/app-store/salesforce/lib/CalendarService.ts,11059-B23,pending,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D33/test.diff,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D33/fix.patch,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D33/logs,True,1,[],,,
11059-D34,11059,Hardcoded Salesforce login host breaks sandbox orgs,D-verified,own_executed,False,"yes - defect-specific test, orthogonality proven",packages/app-store/salesforce/lib/calendarservice.ts:795,11059-B23,pending,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D34/test.diff,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D34/fix.patch,analysis/verified_gold/11059/B23-parserefreshtokenresponse-throws-on-schema-mismatch-and-ca/defects/11059-D34/logs,True,1,[],,,
14740-D01,14740,Missing max/rate limits on guests array enables unbounded guest inserts and email fan-out,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",packages/trpc/server/routers/viewer/bookings/addguests.schema.ts:5,14740-B03,behavior_change_not_regression,analysis/verified_gold/14740/B03-addguests-input-schema-allows-unbounded-guests-array-email/defects/14740-D01/test.diff,analysis/verified_gold/14740/B03-addguests-input-schema-allows-unbounded-guests-array-email/defects/14740-D01/fix.patch,analysis/verified_gold/14740/B03-addguests-input-schema-allows-unbounded-guests-array-email/defects/14740-D01/logs,,105,['14740-D02'],,,
14740-D03,14740,"Missing booking status/end-time validation allows adding guests to cancelled, rejected, or past bookings",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",packages/trpc/server/routers/viewer/bookings/addguests.handler.ts:52,14740-B06,behavior_change_not_regression,analysis/verified_gold/14740/B06-authorization-bypass-any-attendee-can-add-arbitrary-guests/defects/14740-D03/test.diff,analysis/verified_gold/14740/B06-authorization-bypass-any-attendee-can-add-arbitrary-guests/defects/14740-D03/fix.patch,analysis/verified_gold/14740/B06-authorization-bypass-any-attendee-can-add-arbitrary-guests/defects/14740-D03/logs,True,124,['14740-D04'],,,
14740-D05,14740,"add-guests handler emails raw guests list instead of filtered uniqueGuests, causing duplicate/wrong notifications",D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",packages/trpc/server/routers/viewer/bookings/addguests.handler.ts:168,14740-B07,behavior_change_not_regression,analysis/verified_gold/14740/B07-add-guests-handler-emails-raw-guests-list-instead-of-filte/defects/14740-D05/test.diff,analysis/verified_gold/14740/B07-add-guests-handler-emails-raw-guests-list-instead-of-filte/defects/14740-D05/fix.patch,analysis/verified_gold/14740/B07-add-guests-handler-emails-raw-guests-list-instead-of-filte/defects/14740-D05/logs,,78,[],,,
14740-D06,14740,addGuests crashes with unhandled Prisma P2025 when booking.userId is null (id coerced to 0),D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",packages/trpc/server/routers/viewer/bookings/addguests.handler.ts:58,14740-B08,behavior_change_not_regression,analysis/verified_gold/14740/B08-addguests-crashes-with-unhandled-prisma-p2025-when-booking/defects/14740-D06/test.diff,analysis/verified_gold/14740/B08-addguests-crashes-with-unhandled-prisma-p2025-when-booking/defects/14740-D06/fix.patch,analysis/verified_gold/14740/B08-addguests-crashes-with-unhandled-prisma-p2025-when-booking/defects/14740-D06/logs,,59,[],,,
14740-D07,14740,Add-guests endpoint can overbook seat-limited events by appending attendees without enforcing seatsPerTimeSlot,D-verified,own_executed,True,"yes - defect-specific test, orthogonality proven",apps/web/components/booking/bookinglistitem.tsx:194,14740-B10,behavior_change_not_regression,analysis/verified_gold/14740/B10-add-guests-endpoint-can-overbook-seat-limited-events-by-ap/defects/14740-D07/test.diff,analysis/verified_gold/14740/B10-add-guests-endpoint-can-overbook-seat-limited-events-by-ap/defects/14740-D07/fix.patch,analysis/verified_gold/14740/B10-add-guests-endpoint-can-overbook-seat-limited-events-by-ap/defects/14740-D07/logs,,46,[],,,
